city_country,display_name,address,latitude,longitude
Zürich,Migros-Supermarkt - Zürich - Hauptbahnhof,"Hauptbahnhof, 8001 Zürich, Switzerland",47.3781908,8.5404261
Zürich,Migros,"Löwenstrasse 31-35 2. und 3. OG, 8001 Zürich, Switzerland",47.3753832,8.5360797
Zürich,Migros-Supermarkt - Zürich - Herdern,"Pfingstweidstrasse 101, 8005 Zürich, Switzerland",47.3902225,8.508952
Zürich,Migros-Supermarkt - Zürich - Limmatplatz,"Limmatstrasse 152, 8005 Zürich, Switzerland",47.385463,8.5314092
Zürich,Migros-Supermarkt - Zürich - HB Sihlquai,"Sihlpassage, 8004 Zürich, Switzerland",47.3784015,8.535615
Zürich,Migros-Supermarkt - Zürich - Altstetten Neumarkt,"Neumarkt Altstetten, Altstetterstrasse 145, 8048 Zürich, Switzerland",47.3881781,8.486922
Zürich,Migros-Supermarkt - Zürich - Brunaupark,"BRUNAUPARK, Giesshübelstrasse 65, 8045 Zürich, Switzerland",47.3583859,8.5176472
Zürich,Migros-Supermarkt - Zürich - Oerlikon Neumarkt,"Einkaufszentrum Neumarkt, Hofwiesenstrasse 350, 8050 Zürich, Switzerland",47.4105054,8.5430437
Zürich,Migros,"Tessinerpl. 10, 8002 Zürich, Switzerland",47.3641305,8.5310291
Zürich,Migros-Supermarket - Zürich - ShopVilleMärt,"Shop Ville Zürich Hauptbahnhof, 8001 Zürich, Switzerland",47.3771228,8.5394461
Zürich,Migros-Supermarkt - Zürich - Kreuzplatz,"Kreuzpl. 20, 8008 Zürich, Switzerland",47.3645128,8.5537736
Zürich,Migros Supermarket Zürich Wengihof,"Wengistrasse 7, 8004 Zürich, Switzerland",47.3749412,8.5230714
Zürich,Migros-Supermarkt - Zürich - Albisriederplatz,"Badenerstrasse 376, 8004 Zürich, Switzerland",47.3791051,8.5087542
Zürich,Coop Supermarkt Zürich Bahnhofbrücke,"Bahnhofbrücke 1, 8001 Zürich, Switzerland",47.3764584,8.5423575
Zürich,Migros Supermarket Zürich Schmiede Wiedikon,"Birmensdorferstrasse 140, 8003 Zürich, Switzerland",47.3700773,8.5201284
Zürich,MIGROS,"Zurich Airport, Flughafen, 8058 Kloten, Switzerland",47.4495949,8.5625697
Zürich,Migros-Supermarkt - Zürich - Altstetten M-Express,"Hohlstrasse 600, 8048 Zürich, Switzerland",47.3913612,8.4877977
Zürich,Migros-Supermarkt - Zürich - Rigiplatz,"Winterthurerstrasse 2/4, 8006 Zürich, Switzerland",47.3860579,8.5486902
Zürich,Migros Supermarket Zürich Stadelhofen,"Falkenstrasse 19/21, 8008 Zürich, Switzerland",47.3654649,8.5479404
Zürich,Migros-Supermarkt - Zürich - Wollishofen,"Etzelstrasse 3, 8038 Zürich, Switzerland",47.3447222,8.53
Switzerland,Migros,"Rugenparkstrasse 1, 3800 Interlaken, Switzerland",46.6813497,7.8518859
Switzerland,Migros-Supermarkt - Matten,"Aegertiweg 33, 3812 Wilderswil, Switzerland",46.6732321,7.8685672
Switzerland,Migros-Supermarkt - Luzern - Schweizerhof,"Hertensteinstrasse 9, 6004 Luzern, Switzerland",47.054745,8.3096768
Switzerland,Migros-Supermarkt - Ebikon - Mall of Switzerland,"Ebisquare Str. 1, 6030 Ebikon, Switzerland",47.0935442,8.3581326
